X,Y,id,
126.64935077142,37.4510481517537,"1", -12.885675615622123, -2.6190681346488605
126.649384307189,37.4510784684146,"2", -9.918321105545854, 0.7456567546673654
126.649422519504,37.4510458060157,"3", -6.537179279256292, -2.879419918619413
126.649388958431,37.4510162974788,"4", -9.506772592026769, -6.154455434377273
126.649314845235,37.4510185961289,"5", -16.064543984818815, -5.899327095476503
126.649353074414,37.45098539501,"6", -12.681910045044498, -9.584196675201376
126.649278539029,37.4509903806254,"7", -19.27703999335311, -9.030849870130718
126.649314386202,37.450957671192,"8", -16.105173748695588, -12.661150060412606
126.649244935867,37.4509622189055,"9", -22.250364271442123, -12.156402799796021
126.649281872579,37.4509271053147,"10", -18.982092745762632, -16.053532451032105
